Title,Subtitle,Battery,Weight,Plug Type,Number of Seats,Acceleration,Top Speed,Car Range,Efficiency,Fastcharge
Peugeot e-Traveller Standard 75 kWh,Battery Electric Vehicle ,68 kWh *,1000,Type 2 CCS,9,14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h
Citroen e-SpaceTourer XL 75 kWh,Battery Electric Vehicle ,65 kWh *,1000,Type 2 CCS,9,13.3 sec,130 km/h,250 km,260 Wh/km,290 km/h
Opel Vivaro-e Combi M 75 kWh,Battery Electric Vehicle ,65 kWh *,1000,Type 2 CCS,9,13.3 sec,130 km/h,250 km,260 Wh/km,290 km/h
Porsche Taycan 4S Sport Turismo,Battery Electric Vehicle ,71 kWh,,Type 2 CCS,4,4.0 sec,250 km/h,370 km,192 Wh/km,740 km/h
Toyota PROACE Shuttle L 75 kWh,Battery Electric Vehicle ,65 kWh *,1000,Type 2 CCS,9,13.1 sec,130 km/h,245 km,265 Wh/km,280 km/h
Mercedes EQV 250 Long,Battery Electric Vehicle ,60 kWh,,Type 2 CCS,7,12.0 sec,160 km/h,205 km,293 Wh/km,190 km/h
Opel Combo-e Life XL 50 kWh,Battery Electric Vehicle ,45 kWh *,750,Type 2 CCS,7,11.7 sec,135 km/h,195 km,231 Wh/km,310 km/h
Citroen e-Jumpy Combi M 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,180 km,250 Wh/km,290 km/h
Porsche Taycan Turbo Cross Turismo,Battery Electric Vehicle ,83.7 kWh,,Type 2 CCS,4,3.3 sec,250 km/h,400 km,209 Wh/km,880 km/h
Mercedes EQV 250 Extra-Long,Battery Electric Vehicle ,60 kWh,,Type 2 CCS,7,12.0 sec,160 km/h,205 km,293 Wh/km,190 km/h
Toyota PROACE Shuttle M 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,175 km,257 Wh/km,280 km/h
